"'Calanus finmarchicus'"	"'Centropages typicus'"	"'Temora longicornis'"	"'Metridia lucens'"	"'Centropages hamatus'"	"'Paraeuchaeta norvegica'"	"'Harpacticoida '"	"'Oithona '"	"'Metridia'"	"'Calanus'"	"'Acartia '"	"'Clausocalanus'"	"'Paracalanus'"	"'Paracalanus or Pseudocalanus '"	"'Pseudocalanus'"
201	0	0	0	0	0	0	1507	0	25613	0	0	0	3013	0
67	0	0	0	0	0	0	3013	0	52732	9040	0	0	3013	0
201	0	0	0	0	0	0	0	0	112997	0	0	0	9040	0
33	0	0	0	0	0	0	0	0	52732	0	0	0	0	0
67	0	0	0	0	0	0	9040	0	52732	1507	0	0	9040	1507
1172	0	0	0	0	0	0	0	0	0	0	0	0	52732	25613
569	0	0	0	0	0	0	0	0	3013	0	0	0	25613	9040
1172	0	0	0	0	0	0	0	0	4520	0	0	0	1507	1507
5356	0	0	0	0	0	0	0	0	9040	0	0	0	1507	1507
2511	0	0	0	0	0	0	1507	0	25613	0	0	0	3013	3013
201	1507	0	0	0	0	0	0	0	52732	0	0	0	3013	3013
201	4520	0	0	0	0	0	0	0	1507	0	0	0	4520	1507
42851	0	0	67	0	201	0	0	1507	4520	0	0	0	0	0
21426	0	0	0	0	569	0	1507	4520	9040	0	0	0	0	0
5356	0	0	2511	0	100	0	0	0	1507	0	0	0	1507	0
10713	0	0	569	0	0	0	0	0	1507	0	0	0	0	0
201	0	3013	0	0	0	0	0	0	1507	0	0	0	9040	9040
569	0	0	67	0	0	0	4520	0	3013	0	0	0	9040	4520
10713	1507	0	0	0	0	0	0	0	1507	0	0	0	1507	0
10713	0	0	0	0	0	0	1507	0	4520	0	0	0	0	0
5356	52732	0	0	0	0	0	3013	0	52732	0	0	0	1507	1507
201	9040	0	0	0	0	0	0	0	4520	0	0	0	9040	9040
33	4520	0	0	0	0	0	0	0	0	0	0	0	1507	0
5356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10713	9040	0	0	0	0	0	3013	0	25613	0	0	0	25613	9040
201	0	0	201	0	0	0	0	0	0	0	0	0	0	0
67	0	0	67	0	0	0	0	0	0	0	0	0	1507	0
201	0	0	201	0	0	0	0	0	1507	0	0	0	0	0
201	1507	0	569	0	33	0	0	0	9040	3013	0	0	3013	3013
201	1507	0	201	0	33	0	0	0	0	0	0	0	9040	3013
201	0	0	569	0	67	0	0	0	0	0	0	0	3013	0
67	1507	0	2511	0	201	0	0	0	0	0	0	0	1507	0
100	0	0	569	0	201	0	0	0	0	0	0	0	0	0
33	0	0	67	0	0	0	0	0	0	0	0	0	3013	1507
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
569	0	0	0	0	0	0	0	0	3013	0	0	0	1507	1507
100	0	0	0	0	0	0	0	0	1507	0	0	0	1507	0
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	3013	1507
2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5356	0	0	0	0	0	0	0	0	1507	0	0	0	1507	1507
42851	0	0	0	0	0	0	0	0	4520	0	0	0	0	0
42851	0	0	0	0	0	0	0	0	1507	0	0	0	1507	1507
241061	0	0	0	0	0	0	0	0	3013	0	0	0	0	0
2511	0	0	0	0	0	0	0	33	3013	0	0	0	1507	1507
2511	0	0	0	0	0	0	0	0	3013	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
569	0	0	0	0	0	0	0	0	3013	0	0	0	0	0
67	0	0	0	0	0	0	0	0	25613	0	0	0	4520	1507
33	0	0	0	0	0	0	0	0	52732	0	0	0	0	0
0	0	0	0	0	0	0	0	0	112997	0	0	0	4520	0
201	0	0	0	0	0	0	3013	0	52732	0	0	0	9040	0
67	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
201	0	0	0	0	0	0	0	0	25613	0	0	0	4520	0
1172	0	9040	0	0	0	0	0	0	3013	0	0	0	9040	0
5356	0	1507	0	0	0	0	0	0	9040	0	0	0	9040	9040
2511	0	1507	0	0	0	0	4520	0	9040	0	0	0	3013	9040
569	0	4520	0	0	0	0	0	0	9040	0	0	0	25613	9040
201	0	1507	0	0	0	0	1507	0	52732	0	0	0	9040	4520
1172	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
10713	0	0	0	0	0	0	0	0	112997	0	0	0	1507	0
21426	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
21426	0	0	0	0	33	0	0	0	9040	0	0	0	1507	1507
5356	0	0	0	0	0	0	0	0	25613	0	0	0	9040	1507
201	0	9040	0	0	0	0	0	0	1507	0	0	0	25613	9040
2511	0	1507	0	0	0	0	0	0	1507	0	0	0	0	0
201	0	0	0	0	0	0	0	0	1507	0	0	0	0	0
5356	0	0	0	0	201	0	0	0	4520	0	0	0	0	0
2511	0	0	0	0	201	0	0	0	0	0	0	0	0	0
5356	0	0	0	0	67	0	4520	0	0	0	0	0	3013	1507
5356	0	0	0	0	67	0	1507	0	3013	0	0	0	0	0
5356	0	0	0	0	67	0	0	0	0	0	0	0	1507	0
5356	0	0	0	0	201	0	0	0	1507	0	0	0	0	0
2511	0	0	0	0	569	0	1507	0	9040	0	0	0	0	0
201	0	0	0	0	0	0	0	0	3013	0	0	0	25613	3013
201	0	0	0	0	0	0	3013	0	1507	0	0	0	9040	4520
201	0	1507	0	0	0	0	0	0	1507	0	0	0	9040	9040
201	0	0	0	0	0	0	0	0	0	1507	0	0	0	0
1172	25613	9040	0	0	0	0	0	0	9040	9040	0	0	25613	9040
201	9040	0	0	0	0	0	1507	0	9040	0	0	0	25613	4520
569	25613	0	0	0	0	0	3013	0	0	0	0	0	9040	1507
67	1507	0	0	0	0	0	0	0	0	0	0	0	9040	1507
569	3013	0	0	0	0	0	3013	0	3013	0	0	0	52732	9040
569	9040	0	0	0	0	0	3013	0	0	0	0	0	112997	112997
0	0	0	0	0	0	0	0	0	0	0	0	0	1507	0
201	0	0	0	0	0	0	0	0	1507	0	0	0	9040	4520
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2511	0	0	0	0	100	0	0	0	1507	0	0	0	1507	1507
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
569	0	0	0	0	0	0	0	0	0	0	0	0	3013	1507
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	9040	0	0	0	0	0	0	0	0	0	0	9040	9040
1172	0	9040	33	0	0	0	0	0	4520	0	0	0	9040	9040
1172	0	1507	0	0	0	0	0	0	9040	0	0	0	0	0
5356	0	0	0	0	0	0	0	0	9040	0	0	0	1507	0
5356	1507	0	0	0	33	0	0	0	25613	0	0	0	9040	9040
201	1507	0	0	0	0	0	0	0	9040	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	33	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	33	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3013	1507
67	9040	0	0	0	0	0	0	0	4520	0	0	0	3013	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3013	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1507	0
0	1507	0	0	0	0	0	1507	0	0	0	0	0	1507	0
0	1507	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4520	0	3013	0	0	0	1507	0
33	0	0	0	0	0	0	0	0	0	3013	0	0	3013	1507
33	1507	0	0	0	0	0	0	0	0	0	0	0	1507	1507
201	1507	0	33	0	0	0	0	0	0	0	0	0	0	0
569	1507	0	0	0	0	0	0	0	0	0	0	0	3013	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	3013	0
33	1507	0	0	0	0	0	0	0	1507	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	4520	0
67	1507	0	0	0	0	0	1507	0	0	3013	0	0	1507	0
33	1507	0	0	0	0	0	0	0	0	1507	0	0	9040	0
0	3013	0	0	0	0	0	0	0	0	4520	0	0	9040	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	3013	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	1507	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	342	0	0	0	0	0
129	0	0	8	0	0	0	0	0	0	0	0	0	0	0
570	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	342	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	2054	2054
46	0	0	0	0	0	0	0	0	0	0	0	0	685	0
570	0	0	0	0	0	0	0	0	0	0	0	0	342	342
266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0	0	0	0	342	342
1217	0	0	0	0	0	0	0	0	342	0	0	0	0	0
266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
569	0	0	33	0	0	0	0	0	0	0	0	0	0	0
569	0	0	67	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	67	0	0	0	0	0	0	0	0	0	1507	1507
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	1507	0	0	0	0	0	0	9040	0	0	0	9040	9040
1172	0	1507	0	0	0	0	0	0	9040	0	0	0	0	0
2511	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
2511	0	0	0	0	0	0	1507	0	9040	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	1507	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	3013	0	3013	0	0	0	0	0
0	0	0	0	0	0	0	0	0	4520	0	0	0	9040	0
0	0	0	0	0	0	0	0	0	52732	0	0	0	0	0
201	0	0	0	0	0	0	3013	0	9040	1507	0	0	9040	0
569	3013	0	201	0	0	0	0	0	0	0	0	0	3013	1507
201	1507	0	569	0	0	0	0	0	0	0	0	0	0	3013
201	1507	0	569	0	0	0	0	0	0	0	0	0	1507	1507
201	0	0	569	0	0	0	0	0	0	0	0	0	0	0
201	0	0	67	0	0	0	0	0	0	0	0	0	0	0
201	9040	0	0	0	0	0	0	0	3013	1507	0	0	9040	0
201	9040	0	0	0	0	0	0	0	0	0	0	0	4520	4520
201	1507	0	0	0	0	0	0	0	1507	0	0	0	1507	0
100	4520	0	0	0	0	0	0	0	1507	1507	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
201	9040	0	0	0	0	0	0	0	0	0	0	0	9040	0
0	0	0	201	0	0	0	0	0	0	3013	0	0	3013	0
33	1507	0	100	0	0	0	0	0	0	0	0	0	3013	3013
33	0	0	0	0	0	0	0	0	0	0	0	0	1507	0
201	0	0	0	0	0	0	1507	0	0	0	0	0	4520	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	3013	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	1507	0	0	0	0	0	1507	0
201	0	0	33	0	0	0	0	0	0	0	0	0	4520	4520
1172	0	0	33	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
2511	0	0	0	0	0	0	0	0	3013	0	0	0	1507	1507
2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	1507	1507	0	0	1507	1507
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	0	0	0	0	201	0	0	0	0	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
569	0	0	0	0	0	0	0	0	9040	0	0	0	1507	0
569	0	0	0	0	0	0	0	0	25613	0	0	0	1507	0
201	0	0	100	0	67	0	0	0	9040	0	0	0	1507	0
569	0	0	0	0	0	0	0	0	112997	0	0	0	1507	0
1172	0	0	0	0	0	0	0	0	25613	0	0	0	0	0
1172	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
2511	0	0	0	0	0	0	0	0	25613	0	0	0	3013	1507
2511	0	0	67	0	0	0	0	0	1507	0	0	0	0	0
569	0	0	0	0	0	0	0	0	9040	0	0	0	1507	0
0	0	0	0	0	0	0	0	0	9040	0	0	0	0	0
0	0	1507	0	0	0	0	0	0	52732	0	0	0	1507	0
2511	0	0	0	0	0	0	0	0	1507	0	0	0	4520	0
5356	0	0	0	0	0	0	1507	0	9040	0	0	0	25613	9040
2511	0	0	0	0	0	0	1507	0	9040	0	0	0	9040	9040
1172	0	0	0	0	0	0	0	0	1507	0	0	0	0	0
